profile_id,year,id,wtssps,age,sex,race,hispanic,degree,income16,hompop,class,region,partyid,polviews,relig,reborn,reliten,attend,consci,profile_basic,profile_detailed
p0120,2024,1578,0.6415443114481627,23,female,white,not hispanic,less than high school,"under $1,000",NA,lower class,midwest,"independent (neither, no response)",extremely liberal,none,no,iap,never,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 23; sex female; race white; highest educational degree: less than high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 23 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: less than high school.
- Household income (GSS bracket): under $1,000.
- Self-described social class: lower class.
- Census region: midwest.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): extremely liberal.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0121,2024,605,0.9503419766750167,65,male,white,not hispanic,bachelor's,"$130,000 to $149,999",2,middle class,northeast,strong democrat,liberal,none,no,iap,never,iap,You are simulating the response of a U.S. resident with the following characteristics: age 65; sex male; race white; highest educational degree: bachelor's; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 65 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: bachelor's.
- Household income (GSS bracket): $130,000 to $149,999.
- Household size: 2.
- Self-described social class: middle class.
- Census region: northeast.
- Party identification: strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0122,2024,3290,0.8752010799102458,29,female,white,not hispanic,high school,"$90,000 to $109,999",NA,middle class,northeast,"independent (neither, no response)","moderate, middle of the road",none,no,no religion,several times a year,only some,"You are simulating the response of a U.S. resident with the following characteristics: age 29; sex female; race white; highest educational degree: high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 29 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $90,000 to $109,999.
- Self-described social class: middle class.
- Census region: northeast.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: not religious.
- Confidence in the scientific community: only some."
p0123,2024,1955,0.7553214942558365,42,female,white,not hispanic,bachelor's,"$110,000 to $129,999",3,working class,northeast,"independent (neither, no response)","moderate, middle of the road",none,no,iap,less than once a year,hardly any,"You are simulating the response of a U.S. resident with the following characteristics: age 42; sex female; race white; highest educational degree: bachelor's; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 42 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: bachelor's.
- Household income (GSS bracket): $110,000 to $129,999.
- Household size: 3.
- Self-described social class: working class.
- Census region: northeast.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: not religious.
- Confidence in the scientific community: hardly any."
p0124,2024,921,1.01919759500495,65,female,white,not hispanic,graduate,"$170,000 or over",NA,upper class,south,strong democrat,liberal,catholic,no,iap,several times a year,iap,You are simulating the response of a U.S. resident with the following characteristics: age 65; sex female; race white; highest educational degree: graduate; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 65 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: graduate.
- Household income (GSS bracket): $170,000 or over.
- Self-described social class: upper class.
- Census region: south.
- Party identification: strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: catholic.
- Strength of religious affiliation: iap.
- Religious service attendance: several times a year.
- Confidence in the scientific community: iap."
p0125,2024,465,7.154463702807573,43,female,other,not hispanic,less than high school,refused,NA,working class,south,"independent (neither, no response)","moderate, middle of the road",muslim/islam,no,somewhat strong (vol.),several times a week,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 43; sex female; race other; highest educational degree: less than high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 43 years old.
- Sex: female.
- Race: other.
- Hispanic origin: not hispanic.
- Highest educational degree: less than high school.
- Household income (GSS bracket): refused.
- Self-described social class: working class.
- Census region: south.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: muslim/islam.
- Strength of religious affiliation: somewhat strong (vol.).
- Religious service attendance: several times a week.
- Confidence in the scientific community: iap."
p0126,2024,3268,0.724550282480796,55,male,white,not hispanic,high school,"$15,000 to $17,499",NA,working class,northeast,strong democrat,slightly conservative,protestant,yes,strong,never,only some,You are simulating the response of a U.S. resident with the following characteristics: age 55; sex male; race white; highest educational degree: high school; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 55 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $15,000 to $17,499.
- Self-described social class: working class.
- Census region: northeast.
- Party identification: strong democrat.
- Political views (liberal-conservative): slightly conservative.
- Religion: protestant.
- Strength of religious affiliation: strong.
- Religious service attendance: never.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: only some."
p0127,2024,1332,1.7127940213571586,32,female,other,"mexican, mexican american, chicano/a",high school,"$20,000 to $22,499",NA,lower class,west,not very strong democrat,liberal,none,no,iap,never,only some,You are simulating the response of a U.S. resident with the following characteristics: age 32; sex female; race other; highest educational degree: high school; party identification: not very strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 32 years old.
- Sex: female.
- Race: other.
- Hispanic origin: mexican, mexican american, chicano/a.
- Highest educational degree: high school.
- Household income (GSS bracket): $20,000 to $22,499.
- Self-described social class: lower class.
- Census region: west.
- Party identification: not very strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: not religious.
- Confidence in the scientific community: only some."
p0128,2024,211,5.152203021634819,22,male,white,"mexican, mexican american, chicano/a",high school,"$50,000 to $59,999",6,working class,west,not very strong republican,slightly liberal,other,yes,iap,nearly every week,NA,You are simulating the response of a U.S. resident with the following characteristics: age 22; sex male; race white; highest educational degree: high school; party identification: not very strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 22 years old.
- Sex: male.
- Race: white.
- Hispanic origin: mexican, mexican american, chicano/a.
- Highest educational degree: high school.
- Household income (GSS bracket): $50,000 to $59,999.
- Household size: 6.
- Self-described social class: working class.
- Census region: west.
- Party identification: not very strong republican.
- Political views (liberal-conservative): slightly liberal.
- Religion: other.
- Strength of religious affiliation: iap.
- Religious service attendance: nearly every week.
- Self-identifies as a born-again or evangelical Christian."
p0129,2024,763,0.8948609500056234,19,male,white,not hispanic,high school,"$10,000 to $12,499",NA,working class,northeast,"independent (neither, no response)",don't know,catholic,no,somewhat strong (vol.),about once or twice a year,only some,"You are simulating the response of a U.S. resident with the following characteristics: age 19; sex male; race white; highest educational degree: high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 19 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $10,000 to $12,499.
- Self-described social class: working class.
- Census region: northeast.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): don't know.
- Religion: catholic.
- Strength of religious affiliation: somewhat strong (vol.).
- Religious service attendance: about once or twice a year.
- Confidence in the scientific community: only some."
p0130,2024,516,3.3235328342414263,33,female,white,not hispanic,bachelor's,"$170,000 or over",NA,middle class,west,not very strong democrat,liberal,none,no,no religion,less than once a year,a great deal,You are simulating the response of a U.S. resident with the following characteristics: age 33; sex female; race white; highest educational degree: bachelor's; party identification: not very strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 33 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: bachelor's.
- Household income (GSS bracket): $170,000 or over.
- Self-described social class: middle class.
- Census region: west.
- Party identification: not very strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: not religious.
- Confidence in the scientific community: a great deal."
p0131,2024,2263,1.0289056494911086,26,male,white,not hispanic,high school,"$75,000 to $89,999",2,working class,northeast,"independent (neither, no response)","moderate, middle of the road",none,no,iap,never,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 26; sex male; race white; highest educational degree: high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 26 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $75,000 to $89,999.
- Household size: 2.
- Self-described social class: working class.
- Census region: northeast.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0132,2024,830,2.0744721857068575,59,female,white,"mexican, mexican american, chicano/a",less than high school,"$60,000 to $74,999",NA,working class,south,"independent (neither, no response)","moderate, middle of the road",catholic,don't know,somewhat strong (vol.),2-3 times a month,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 59; sex female; race white; highest educational degree: less than high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 59 years old.
- Sex: female.
- Race: white.
- Hispanic origin: mexican, mexican american, chicano/a.
- Highest educational degree: less than high school.
- Household income (GSS bracket): $60,000 to $74,999.
- Self-described social class: working class.
- Census region: south.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: catholic.
- Strength of religious affiliation: somewhat strong (vol.).
- Religious service attendance: 2-3 times a month.
- Confidence in the scientific community: iap."
p0133,2024,104,1.1199625688118287,60,male,other,"another hispanic, latino, or spanish origin",bachelor's,refused,3,middle class,northeast,not very strong republican,slightly conservative,catholic,yes,not very strong,never,only some,You are simulating the response of a U.S. resident with the following characteristics: age 60; sex male; race other; highest educational degree: bachelor's; party identification: not very strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 60 years old.
- Sex: male.
- Race: other.
- Hispanic origin: another hispanic, latino, or spanish origin.
- Highest educational degree: bachelor's.
- Household income (GSS bracket): refused.
- Household size: 3.
- Self-described social class: middle class.
- Census region: northeast.
- Party identification: not very strong republican.
- Political views (liberal-conservative): slightly conservative.
- Religion: catholic.
- Strength of religious affiliation: not very strong.
- Religious service attendance: never.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: only some."
p0134,2024,1563,2.0509295889707304,23,male,black,not hispanic,high school,"$35,000 to $39,999",NA,working class,midwest,other party,conservative,catholic,no,iap,never,iap,You are simulating the response of a U.S. resident with the following characteristics: age 23; sex male; race black; highest educational degree: high school; party identification: other party.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 23 years old.
- Sex: male.
- Race: black.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $35,000 to $39,999.
- Self-described social class: working class.
- Census region: midwest.
- Party identification: other party.
- Political views (liberal-conservative): conservative.
- Religion: catholic.
- Strength of religious affiliation: iap.
- Religious service attendance: never.
- Confidence in the scientific community: iap."
p0135,2024,180,0.31862323524137665,64,female,white,not hispanic,associate/junior college,"$30,000 to $34,999",NA,middle class,northeast,"independent (neither, no response)","moderate, middle of the road",catholic,yes,strong,every week,only some,"You are simulating the response of a U.S. resident with the following characteristics: age 64; sex female; race white; highest educational degree: associate/junior college; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 64 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: associate/junior college.
- Household income (GSS bracket): $30,000 to $34,999.
- Self-described social class: middle class.
- Census region: northeast.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: catholic.
- Strength of religious affiliation: strong.
- Religious service attendance: every week.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: only some."
p0136,2024,3031,0.7318406039259636,31,female,other,not hispanic,high school,"$1,000 to $2,999",6,lower class,south,"independent, close to republican","moderate, middle of the road",protestant,yes,strong,every week,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 31; sex female; race other; highest educational degree: high school; party identification: independent, close to republican.","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 31 years old.
- Sex: female.
- Race: other.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $1,000 to $2,999.
- Household size: 6.
- Self-described social class: lower class.
- Census region: south.
- Party identification: independent, close to republican.
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: protestant.
- Strength of religious affiliation: strong.
- Religious service attendance: every week.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: iap."
p0137,2024,3082,1.4881462625453326,65,male,white,not hispanic,high school,"$35,000 to $39,999",4,working class,south,strong republican,conservative,protestant,yes,iap,every week,iap,You are simulating the response of a U.S. resident with the following characteristics: age 65; sex male; race white; highest educational degree: high school; party identification: strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 65 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $35,000 to $39,999.
- Household size: 4.
- Self-described social class: working class.
- Census region: south.
- Party identification: strong republican.
- Political views (liberal-conservative): conservative.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: every week.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: iap."
p0138,2024,2527,0.41105611371945167,37,female,white,not hispanic,graduate,"$130,000 to $149,999",NA,middle class,south,strong democrat,extremely liberal,protestant,no,iap,less than once a year,a great deal,You are simulating the response of a U.S. resident with the following characteristics: age 37; sex female; race white; highest educational degree: graduate; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 37 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: graduate.
- Household income (GSS bracket): $130,000 to $149,999.
- Self-described social class: middle class.
- Census region: south.
- Party identification: strong democrat.
- Political views (liberal-conservative): extremely liberal.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: less than once a year.
- Confidence in the scientific community: a great deal."
p0139,2024,3164,1.1643068365181208,38,female,white,not hispanic,high school,"$50,000 to $59,999",NA,working class,midwest,"independent (neither, no response)","moderate, middle of the road",protestant,no,not very strong,about once or twice a year,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 38; sex female; race white; highest educational degree: high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 38 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $50,000 to $59,999.
- Self-described social class: working class.
- Census region: midwest.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: protestant.
- Strength of religious affiliation: not very strong.
- Religious service attendance: about once or twice a year.
- Confidence in the scientific community: iap."
p0140,2024,1287,0.7763025185518818,64,female,white,not hispanic,bachelor's,"$130,000 to $149,999",NA,middle class,west,strong democrat,liberal,none,no,iap,never,iap,You are simulating the response of a U.S. resident with the following characteristics: age 64; sex female; race white; highest educational degree: bachelor's; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 64 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: bachelor's.
- Household income (GSS bracket): $130,000 to $149,999.
- Self-described social class: middle class.
- Census region: west.
- Party identification: strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0141,2024,3126,1.475788191863496,62,male,white,not hispanic,bachelor's,"$130,000 to $149,999",NA,middle class,midwest,strong democrat,slightly liberal,protestant,no,iap,several times a year,a great deal,You are simulating the response of a U.S. resident with the following characteristics: age 62; sex male; race white; highest educational degree: bachelor's; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 62 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: bachelor's.
- Household income (GSS bracket): $130,000 to $149,999.
- Self-described social class: middle class.
- Census region: midwest.
- Party identification: strong democrat.
- Political views (liberal-conservative): slightly liberal.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: several times a year.
- Confidence in the scientific community: a great deal."
p0142,2024,1631,1.031021332389153,42,female,white,"mexican, mexican american, chicano/a",graduate,"$130,000 to $149,999",4,middle class,midwest,strong democrat,extremely liberal,protestant,no,iap,nearly every week,iap,You are simulating the response of a U.S. resident with the following characteristics: age 42; sex female; race white; highest educational degree: graduate; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 42 years old.
- Sex: female.
- Race: white.
- Hispanic origin: mexican, mexican american, chicano/a.
- Highest educational degree: graduate.
- Household income (GSS bracket): $130,000 to $149,999.
- Household size: 4.
- Self-described social class: middle class.
- Census region: midwest.
- Party identification: strong democrat.
- Political views (liberal-conservative): extremely liberal.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: nearly every week.
- Confidence in the scientific community: iap."
p0143,2024,3198,0.22822463859665193,60,female,other,not hispanic,associate/junior college,"$17,500 to $19,999",NA,middle class,south,"independent (neither, no response)",slightly conservative,none,no,no religion,never,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 60; sex female; race other; highest educational degree: associate/junior college; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 60 years old.
- Sex: female.
- Race: other.
- Hispanic origin: not hispanic.
- Highest educational degree: associate/junior college.
- Household income (GSS bracket): $17,500 to $19,999.
- Self-described social class: middle class.
- Census region: south.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): slightly conservative.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0144,2024,454,0.9474010774503782,23,male,white,not hispanic,bachelor's,"$5,000 to $5,999",NA,middle class,south,strong democrat,liberal,none,no,no religion,about once or twice a year,iap,You are simulating the response of a U.S. resident with the following characteristics: age 23; sex male; race white; highest educational degree: bachelor's; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 23 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: bachelor's.
- Household income (GSS bracket): $5,000 to $5,999.
- Self-described social class: middle class.
- Census region: south.
- Party identification: strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0145,2024,1068,2.2421533837391223,19,male,white,not hispanic,high school,"$170,000 or over",NA,upper class,west,strong democrat,liberal,none,no,no religion,never,a great deal,You are simulating the response of a U.S. resident with the following characteristics: age 19; sex male; race white; highest educational degree: high school; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 19 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $170,000 or over.
- Self-described social class: upper class.
- Census region: west.
- Party identification: strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: not religious.
- Confidence in the scientific community: a great deal."
p0146,2024,409,2.4169481655073293,30,male,white,not hispanic,bachelor's,"$130,000 to $149,999",3,middle class,midwest,"independent, close to democrat",liberal,none,no,no religion,about once or twice a year,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 30; sex male; race white; highest educational degree: bachelor's; party identification: independent, close to democrat.","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 30 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: bachelor's.
- Household income (GSS bracket): $130,000 to $149,999.
- Household size: 3.
- Self-described social class: middle class.
- Census region: midwest.
- Party identification: independent, close to democrat.
- Political views (liberal-conservative): liberal.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0147,2024,1240,0.5502588467952786,33,male,white,not hispanic,graduate,"$170,000 or over",4,middle class,midwest,not very strong republican,slightly conservative,catholic,no,iap,about once or twice a year,iap,You are simulating the response of a U.S. resident with the following characteristics: age 33; sex male; race white; highest educational degree: graduate; party identification: not very strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 33 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: graduate.
- Household income (GSS bracket): $170,000 or over.
- Household size: 4.
- Self-described social class: middle class.
- Census region: midwest.
- Party identification: not very strong republican.
- Political views (liberal-conservative): slightly conservative.
- Religion: catholic.
- Strength of religious affiliation: iap.
- Religious service attendance: about once or twice a year.
- Confidence in the scientific community: iap."
p0148,2024,1242,0.5893546977194093,60,male,white,not hispanic,graduate,"$170,000 or over",2,upper class,midwest,strong democrat,liberal,catholic,no,iap,about once or twice a year,a great deal,You are simulating the response of a U.S. resident with the following characteristics: age 60; sex male; race white; highest educational degree: graduate; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 60 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: graduate.
- Household income (GSS bracket): $170,000 or over.
- Household size: 2.
- Self-described social class: upper class.
- Census region: midwest.
- Party identification: strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: catholic.
- Strength of religious affiliation: iap.
- Religious service attendance: about once or twice a year.
- Confidence in the scientific community: a great deal."
p0149,2024,1934,0.526863274090169,41,female,white,"mexican, mexican american, chicano/a",graduate,"$170,000 or over",NA,middle class,northeast,"independent (neither, no response)","moderate, middle of the road",other,no,iap,never,hardly any,"You are simulating the response of a U.S. resident with the following characteristics: age 41; sex female; race white; highest educational degree: graduate; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 41 years old.
- Sex: female.
- Race: white.
- Hispanic origin: mexican, mexican american, chicano/a.
- Highest educational degree: graduate.
- Household income (GSS bracket): $170,000 or over.
- Self-described social class: middle class.
- Census region: northeast.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: other.
- Strength of religious affiliation: iap.
- Religious service attendance: never.
- Confidence in the scientific community: hardly any."
p0150,2024,1587,0.4486833999779072,48,female,white,not hispanic,graduate,"$170,000 or over",4,middle class,midwest,not very strong democrat,"moderate, middle of the road",none,no,iap,never,iap,You are simulating the response of a U.S. resident with the following characteristics: age 48; sex female; race white; highest educational degree: graduate; party identification: not very strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 48 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: graduate.
- Household income (GSS bracket): $170,000 or over.
- Household size: 4.
- Self-described social class: middle class.
- Census region: midwest.
- Party identification: not very strong democrat.
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0151,2024,3035,2.6052350756948544,42,male,white,not hispanic,high school,"$22,500 to $24,999",NA,lower class,south,"independent, close to republican","moderate, middle of the road",none,no,no religion,never,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 42; sex male; race white; highest educational degree: high school; party identification: independent, close to republican.","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 42 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $22,500 to $24,999.
- Self-described social class: lower class.
- Census region: south.
- Party identification: independent, close to republican.
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0152,2024,32,2.369761098748479,55,female,white,not hispanic,graduate,refused,4,middle class,northeast,"independent (neither, no response)","moderate, middle of the road",catholic,no,strong,2-3 times a month,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 55; sex female; race white; highest educational degree: graduate; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 55 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: graduate.
- Household income (GSS bracket): refused.
- Household size: 4.
- Self-described social class: middle class.
- Census region: northeast.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: catholic.
- Strength of religious affiliation: strong.
- Religious service attendance: 2-3 times a month.
- Confidence in the scientific community: iap."
p0153,2024,3215,0.4732332217200618,61,female,black,not hispanic,less than high school,"$17,500 to $19,999",1,working class,south,strong democrat,extremely liberal,protestant,yes,strong,several times a week,don't know,You are simulating the response of a U.S. resident with the following characteristics: age 61; sex female; race black; highest educational degree: less than high school; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 61 years old.
- Sex: female.
- Race: black.
- Hispanic origin: not hispanic.
- Highest educational degree: less than high school.
- Household income (GSS bracket): $17,500 to $19,999.
- Household size: 1.
- Self-described social class: working class.
- Census region: south.
- Party identification: strong democrat.
- Political views (liberal-conservative): extremely liberal.
- Religion: protestant.
- Strength of religious affiliation: strong.
- Religious service attendance: several times a week.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: don't know."
p0154,2024,510,0.8530219904741451,50,male,white,not hispanic,graduate,"$130,000 to $149,999",3,middle class,south,strong democrat,extremely liberal,protestant,no,iap,every week,a great deal,You are simulating the response of a U.S. resident with the following characteristics: age 50; sex male; race white; highest educational degree: graduate; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 50 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: graduate.
- Household income (GSS bracket): $130,000 to $149,999.
- Household size: 3.
- Self-described social class: middle class.
- Census region: south.
- Party identification: strong democrat.
- Political views (liberal-conservative): extremely liberal.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: every week.
- Confidence in the scientific community: a great deal."
p0155,2024,2858,0.7701763677733623,67,female,white,not hispanic,high school,"$90,000 to $109,999",2,middle class,west,"independent (neither, no response)","moderate, middle of the road",protestant,no,iap,several times a year,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 67; sex female; race white; highest educational degree: high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 67 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $90,000 to $109,999.
- Household size: 2.
- Self-described social class: middle class.
- Census region: west.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: several times a year.
- Confidence in the scientific community: iap."
p0156,2024,157,1.7032952694987402,49,male,white,not hispanic,high school,"$170,000 or over",2,middle class,northeast,"independent, close to republican",slightly conservative,protestant,no,iap,several times a year,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 49; sex male; race white; highest educational degree: high school; party identification: independent, close to republican.","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 49 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $170,000 or over.
- Household size: 2.
- Self-described social class: middle class.
- Census region: northeast.
- Party identification: independent, close to republican.
- Political views (liberal-conservative): slightly conservative.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: several times a year.
- Confidence in the scientific community: iap."
p0157,2024,51,0.5858650833426554,74,female,white,not hispanic,graduate,"$170,000 or over",2,middle class,northeast,strong democrat,"moderate, middle of the road",jewish,no,strong,several times a week,a great deal,You are simulating the response of a U.S. resident with the following characteristics: age 74; sex female; race white; highest educational degree: graduate; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 74 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: graduate.
- Household income (GSS bracket): $170,000 or over.
- Household size: 2.
- Self-described social class: middle class.
- Census region: northeast.
- Party identification: strong democrat.
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: jewish.
- Strength of religious affiliation: strong.
- Religious service attendance: several times a week.
- Confidence in the scientific community: a great deal."
